_type;_tags_wheelchair;_tags_toilets:wheelchair;_tags_shop;_tags_name;_tags_building;_tags_brand:wikidata;_tags_brand;_tags_amenity;_tags_addr:street;_tags_addr:housenumber;_tags_addr:housename;_tags_addr:district;_tags_addr:country;_tags_addr:city;_nodes;_lon;_lat;_id;_geometry_centroid_lon;_geometry_centroid_lat;_geometry;_bounds_minlon;_bounds_minlat;_bounds_maxlon;_bounds_maxlat
node;yes;no;supermarket;Jumbo;;Q6310864;Jumbo;;Avenida Alemania;0671;Portal Temuco;Temuco;CL;Temuco;;-72.6105148;-38.7345169;474049878;;;;;;;
node;;;supermarket;Santa Isabel;;;;;Avenida Pablo Neruda;02050;;Temuco;CL;Temuco;;-72.6318518;-38.7387463;988929036;;;;;;;
node;;;supermarket;Unimarc;;Q6156244;Unimarc;;Avenida Javiera Carrera;1610;;Temuco;CL;Temuco;;-72.6319175;-38.742907;1093024485;;;;;;;
node;;;supermarket;Duck Market;;;;;Avenida Andes;480;;;;Temuco;;-72.6213991;-38.7307705;1130744065;;;;;;;
node;;;supermarket;Manhattan;;;;;;;;;;;;-72.6266052;-38.7304054;1130744590;;;;;;;
node;;;supermarket;Unimarc;;Q6156244;Unimarc;;Avenida Las Encinas;02690;Centro Comercial Barrio Inglés;Temuco;CL;Temuco;;-72.6428176;-38.740907;3791581720;;;;;;;
node;;;supermarket;DeliMarket;;;;;Claro Solar;625;;Temuco;CL;Temuco;;-72.5929005;-38.7389487;3936302675;;;;;;;
node;;;supermarket;Lider Express;;;;;Avenida Rudecindo Ortega;01575;;Temuco;CL;Temuco;;-72.5656758;-38.7180756;3973942102;;;;;;;
node;;;supermarket;Unimarc;;;;;Avenida Alemania;849;;Temuco;CL;Temuco;;-72.6141412;-38.7330577;4101065289;;;;;;;
node;;;supermarket;Super Oferta;;;;;Avenida Barros Arana;09;;Temuco;CL;Temuco;;-72.577251;-38.7348888;4220388391;;;;;;;
node;;;supermarket;Supermercado San Luis;;;;;;;;;;;;-72.6356434;-38.760724;4280296313;;;;;;;
node;;;supermarket;La naranja;;;;;;;;;;;;-72.6190649;-38.7203228;4444574792;;;;;;;
node;;;supermarket;;;;;;;;;;;;;-72.5788269;-38.7802161;4569262195;;;;;;;
node;;;supermarket;Trébol;;;;;General Aldunate;485;;Temuco;CL;Temuco;;-72.5875775;-38.7385061;4768429021;;;;;;;
node;;;supermarket;Delimarket;;;;;Manuel Montt;;;Temuco;CL;Temuco;;-72.5981627;-38.7373659;4799971222;;;;;;;
node;;;supermarket;El Trébol;;;;;Villa Alegre;774;;Padre Las Casas;CL;Padre Las Casas;;-72.5932599;-38.7567941;5020320228;;;;;;;
node;;;supermarket;El Trébol;;;;;Manuel Bulnes;13;;Temuco;CL;Temuco;;-72.5876784;-38.7336175;5164281222;;;;;;;
node;;;supermarket;El Trébol;;;;;Vicuña Mackenna;450;;Temuco;CL;Temuco;;-72.5917703;-38.7376146;5167327623;;;;;;;
node;;;supermarket;A.T.R;;;;;Enrique Mac Iver;1945;;Padre Las Casas;CL;Padre Las Casas;;-72.6044591;-38.7658704;5171511025;;;;;;;
node;;;supermarket;Supermercado M&M;;;;;;;;;;;;-72.6089433;-38.7628072;5171890421;;;;;;;
node;;;supermarket;Deli Market;;;;;;;;;;;;-72.5886392;-38.7406617;11867047297;;;;;;;
way;;;supermarket;Mayorista 10;;;;;Francisco Salazar;01650;;Temuco;CL;Temuco;[1041482863, 8494103017, 658744830, 8494090911, 8494103026, 658744827, 658744828, 12095286269, 8494103025, 12094491029, 8494103024, 658744831, 1041482863];;;51519343;-72.61827847111567;-38.75358922874183;[{'lat': -38.7536045, 'lon': -72.616984}, {'lat': -38.7535687, 'lon': -72.6170218}, {'lat': -38.7530109, 'lon': -72.6185255}, {'lat': -38.7530271, 'lon': -72.6185442}, {'lat': -38.7532902, 'lon': -72.6188477}, {'lat': -38.7539682, 'lon': -72.619699}, {'lat': -38.7539788, 'lon': -72.6196683}, {'lat': -38.7539578, 'lon': -72.6193969}, {'lat': -38.7539279, 'lon': -72.6187712}, {'lat': -38.7539245, 'lon': -72.618734}, {'lat': -38.7538277, 'lon': -72.6170036}, {'lat': -38.7538251, 'lon': -72.6169574}, {'lat': -38.7536045, 'lon': -72.616984}];-72.619699;-38.7539788;-72.6169574;-38.7530109
way;;;supermarket;Lider;yes;Q6711261;Lider;;Avenida General Prieto Norte;0320;;;;;[1095132360, 1095132357, 8486116085, 8486116084, 1095132330, 1095132510, 5427066847, 1095132360];;;94237032;-72.60039402380438;-38.72886772845266;[{'lat': -38.729101, 'lon': -72.6013842}, {'lat': -38.7294409, 'lon': -72.5997181}, {'lat': -38.7293114, 'lon': -72.5996747}, {'lat': -38.7293246, 'lon': -72.5996099}, {'lat': -38.7286342, 'lon': -72.5994128}, {'lat': -38.7282873, 'lon': -72.6011114}, {'lat': -38.7282994, 'lon': -72.6011154}, {'lat': -38.729101, 'lon': -72.6013842}];-72.6013842;-38.7294409;-72.5994128;-38.7282873
way;;;supermarket;Santa Isabel;yes;Q7419620;Santa Isabel;;Avenida Los Creadores;0191;;;;Temuco;[7951844339, 7951844338, 1489264762, 7951844355, 1489264745, 1489264653, 1489264646, 3273018282, 3273018283, 8522260788, 8522271738, 7951844339];;;135623146;-72.65090614156706;-38.71743425113853;[{'lat': -38.7172485, 'lon': -72.6512683}, {'lat': -38.71775, 'lon': -72.6511167}, {'lat': -38.7177803, 'lon': -72.6511075}, {'lat': -38.7177476, 'lon': -72.6509303}, {'lat': -38.7176712, 'lon': -72.6505146}, {'lat': -38.7171031, 'lon': -72.6506864}, {'lat': -38.7171846, 'lon': -72.6511287}, {'lat': -38.7171633, 'lon': -72.6511352}, {'lat': -38.717177, 'lon': -72.6512097}, {'lat': -38.7171018, 'lon': -72.6512356}, {'lat': -38.7171156, 'lon': -72.6513138}, {'lat': -38.7172485, 'lon': -72.6512683}];-72.6513138;-38.7177803;-72.6505146;-38.7171018
way;;;supermarket;Unimarc;yes;Q6156244;Unimarc;;;;;;;;[2041249084, 2041249086, 8498115632, 2041249089, 2041249103, 2041249101, 2041249098, 2041249096, 2041249080, 2041249084];;;194238983;-72.6113028808954;-38.73895855975645;[{'lat': -38.7387191, 'lon': -72.6115003}, {'lat': -38.7387859, 'lon': -72.6110921}, {'lat': -38.738828, 'lon': -72.6108313}, {'lat': -38.7388667, 'lon': -72.610794}, {'lat': -38.7389937, 'lon': -72.6108305}, {'lat': -38.7389189, 'lon': -72.6112998}, {'lat': -38.7390724, 'lon': -72.61134}, {'lat': -38.7392907, 'lon': -72.6113987}, {'lat': -38.7392507, 'lon': -72.6116433}, {'lat': -38.7387191, 'lon': -72.6115003}];-72.6116433;-38.7392907;-72.610794;-38.7387191
way;;;supermarket;Unimarc;;;;;Bernardo O'Higgins;0160;;Temuco;CL;Temuco;[2525368514, 3232202223, 2525368518, 3232202225, 2525368519, 2525368507, 3232208670, 2525368515, 8486408321, 8486408320, 2525368504, 2525368514];;;245318932;-72.60541775729924;-38.74188869841124;[{'lat': -38.7419363, 'lon': -72.6062382}, {'lat': -38.7419953, 'lon': -72.6058197}, {'lat': -38.7420265, 'lon': -72.6055896}, {'lat': -38.7421814, 'lon': -72.6056241}, {'lat': -38.7424642, 'lon': -72.6056996}, {'lat': -38.7424863, 'lon': -72.6054809}, {'lat': -38.7418006, 'lon': -72.6045255}, {'lat': -38.7417011, 'lon': -72.6043913}, {'lat': -38.7416809, 'lon': -72.604588}, {'lat': -38.7416352, 'lon': -72.6049612}, {'lat': -38.7414709, 'lon': -72.606121}, {'lat': -38.7419363, 'lon': -72.6062382}];-72.6062382;-38.7424863;-72.6043913;-38.7414709
