_type;_tags_office;_tags_name;_tags_fixme;_tags_addr:country;_lon;_lat;_id
node;company;CTC;Correcciones masivas de nombres con mayúsculas;CL;-72.6363116;-38.7561246;3772169704
node;company;constructora Rolando Iturra Fernández;;;-72.624612;-38.7552267;4315785094
node;company;Chilemaq;;CL;-72.602855;-38.7416718;5165419325
node;company;MS Consultores;;;-72.6050055;-38.7359169;5218706921
node;company;Dimasur;;CL;-72.6085844;-38.7489093;5231679321
node;company;ADT;Correcciones masivas de nombres con mayúsculas;CL;-72.6151854;-38.7387318;5436549121
node;company;Crecic;;;-72.6028409;-38.7344479;5551728422
node;company;Fábrica de Chimenea y Cocinas Iberia;;;-72.5731583;-38.7264697;5810398771
node;company;VIMACAUCOOP LTDA;Correcciones masivas de nombres con mayúsculas;CL;-72.5929718;-38.7370752;8546386246
node;company;ZS Asesorías Profesionales Asociados Limitada;;;-72.5894873;-38.7407602;9891378418
way;company;Inhidro;;;;;233693710
way;company;Aguas Araucanía;;CL;;;909798922
way;company;Prosegur;;CL;;;911879725
way;company;Ariztía;;;;;912498257
way;company;Aguas San Isidro;;;;;1228346667
