_type;_tags_source:addr;_tags_short_name;_tags_name;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:housenumber;_tags_addr:district;_tags_addr:country;_tags_addr:city;_lon;_lat;_id
node;;IPCHILE;Instituto Profesional de Chile;college;Claro Solar;Región de La Araucanía;1088;Temuco;CL;Temuco;-72.5869515;-38.7400381;3895628138
node;;;Casa de la Música;college;Phillippi;Región de La Araucanía;465;Temuco;CL;Temuco;-72.6038383;-38.735904;5515332821
node;;;CFT Los Lagos;college;Manuel Rodríguez;Región de La Araucanía;477;Temuco;CL;Temuco;-72.594131;-38.7355773;5570194921
node;www.sii.cl, Cartografía Digital SII Mapas;;Centro de Estudios de las Comunicaciones para el Trabajo;college;General Carrera;Región de La Araucanía;101;Temuco;CL;Temuco;-72.5958679;-38.7335241;8544565130
node;www.sii.cl, Cartografía Digital SII Mapas;;Instituto Guillermo Subercaseaux Temuco;college;Almirante Patricio Lynch;Región de La Araucanía;594;Temuco;CL;Temuco;-72.594695;-38.7385687;8546369681
node;www.sii.cl, Cartografía Digital SII Mapas;;CEIA El Sembrador;college;Arturo Prat;Región de La Araucanía;259;Temuco;CL;Temuco;-72.589583;-38.7358624;8546388922
node;www.sii.cl, Cartografía Digital SII Mapas;;Seminario Teologico de Temuco;college;Dinamarca;Región de La Araucanía;650;Temuco;CL;Temuco;-72.6062785;-38.7370044;8586923073
node;;;;college;;;;;;;-72.6019355;-38.7369812;11914305273
node;;;;college;;;;;;;-72.6014446;-38.7366007;11914305274
way;;;Instituto AIEP Temuco;college;Avenida Alemania;Región de La Araucanía;035;Temuco;CL;Temuco;;;107937658
way;;;CFT Inacap Temuco;college;Avenida Luis Durand;Región de La Araucanía;02150;Temuco;CL;Temuco;;;409913943
way;;;CFT Andrés Bello;college;Las Heras;Región de La Araucanía;538;Temuco;CL;Temuco;;;413350518
way;;;Instituto Profesional Santo Tomás Sede Pedro de Valdivia;college;Avenida Pedro de Valdivia;;340;;;Temuco;;;435466759
way;;;Preuniversitario CEPECH;college;Avenida Alemania;Región de La Araucanía;059;Temuco;CL;Temuco;;;913525181
node;;;Colegio Adventista;school;;;;;;;-72.5975045;-38.7361591;474164090
node;;;Escuela  Particular Nº 304 Francia;school;Andrés Bello;;1016;;;Temuco;-72.588261;-38.7420655;2030668765
node;;;Escuela de Lenguaje Wilef;school;;;;;CL;;-72.6318827;-38.7573378;3772169699
node;;;Escuela Francisco Querebán;school;;;;;CL;;-72.602798;-38.7923147;4253612093
node;;;bellavista;school;;;;;;;-72.5854754;-38.7811563;4569264590
node;;;Escuela Chillkatuwe Ruka  El Valle Pingelu;school;;;;;;;-72.517265;-38.772508;4983834526
node;;;Escuela Chilkatuwe Ruka Millahueco;school;;;;;;;-72.514892;-38.757476;4990400121
node;;;Chilkatuwe Ruka  el Valle;school;;;;;;;-72.517185;-38.7722448;5003334021
node;;;Escuela Particular Nuevo Membrillar;school;;;;;;;-72.497221;-38.754132;5033374525
node;;;Escuela Monterrey;school;;;;;;;-72.5051663;-38.6776328;5173822143
node;;;Escuela Particular Tres Cerros;school;;;;;;;-72.5090698;-38.7286889;5571854622
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio Antumalen;school;Vicuña Mackenna;Región de La Araucanía;029;Temuco;CL;Temuco;-72.5901002;-38.7324155;8544565024
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela Especial Hospitalaria Temuco;school;Diego Portales;Región de La Araucanía;16;Temuco;CL;Temuco;-72.6003345;-38.7358997;8544565026
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio de adultos aguila real;school;Avenida Balmaceda;Región de La Araucanía;626;Temuco;CL;Temuco;-72.5915891;-38.7330523;8544565198
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela Gracia y Paz;school;Avenida General Prieto Norte;Región de La Araucanía;147;Temuco;CL;Temuco;-72.5998911;-38.733256;8544565358
node;www.sii.cl, Cartografía Digital SII Mapas;;Centro Educacional Especial Inclusivo San Cristobal;school;Las Heras;Región de La Araucanía;159;Temuco;CL;Temuco;-72.5946538;-38.7342004;8544565365
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio de Adultos Rayenco;school;Lagos;Región de La Araucanía;342;Temuco;CL;Temuco;-72.5928221;-38.7363239;8546386557
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela de Lenguaje Antumapu;school;General Cruz;Región de La Araucanía;632;Temuco;CL;Temuco;-72.5856714;-38.7406291;8546387450
node;www.sii.cl, Cartografía Digital SII Mapas;;CEIA Paulo Freire Temuco;school;Manuel Rodríguez;Región de La Araucanía;1073;Temuco;CL;Temuco;-72.5863815;-38.7367705;8546387847
node;www.sii.cl, Cartografía Digital SII Mapas;;CEIA Miguel De Cervantes;school;Diego Portales;Región de La Araucanía;655;Temuco;CL;Temuco;-72.5920721;-38.7369549;8546387886
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio de Adultos Hacia Un Nuevo Horizonte;school;General Mackenna;Región de La Araucanía;548;Temuco;CL;Temuco;-72.5867118;-38.7394035;8546388365
