_type;_tags_wheelchair;_tags_toilets:wheelchair;_tags_parking;_tags_name;_tags_layer;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:housenumber;_tags_addr:district;_tags_addr:country;_tags_addr:city;_tags_access;_lon;_lat;_id
node;;;;Buses BioBio;;bus_station;Lautaro;Región de La Araucanía;853;Temuco;CL;Temuco;;-72.5888101;-38.7353508;659539867
node;;;;Buses JAC;;bus_station;Avenida Balmaceda;Región de La Araucanía;1005;Temuco;CL;Temuco;;-72.5860685;-38.7332458;659539869
node;;;;Intercomunal Sur;;bus_station;;;;;;;;-72.5812154;-38.7338923;1175027757
node;;;;Buses igi llaima;;bus_station;Avenida Balmaceda;Región de La Araucanía;997;Temuco;CL;Temuco;;-72.5866287;-38.7332192;5164281321
node;;;;Nar bus;;bus_station;Avenida Balmaceda;Región de La Araucanía;995;Temuco;CL;Temuco;;-72.5867783;-38.733194;5164281322
way;;;;Pullman Bus;;bus_station;Avenida Rudecindo Ortega;Región de La Araucanía;02051;Temuco;CL;Temuco;;;;394380457
way;;;;Buses Rurales;;bus_station;;;;;;;;;;426693008
way;;;;Terminal de Buses Rodoviario Temuco;;bus_station;Vicente Pérez Rosales;;01609;Temuco;CL;Temuco;;;;908416001
node;yes;no;underground;Portal Temuco;-1;parking;;;;;;;yes;-72.6103643;-38.7330651;474049891
node;no;no;surface;Estacionamiento German Becker;;parking;;;;;;;customers;-72.620476;-38.7412754;998146357
node;;;surface;Santa isabel;;parking;;;;;;;;-72.6321738;-38.7388827;1044276735
node;;;surface;Teatro Municipal;;parking;;;;;;;;-72.6236467;-38.7404369;1044276817
node;;;;Caupolican;;parking;;;;;;;private;-72.5993611;-38.7386849;1055897709
node;;;underground;Plaza Manuel Recabarren;-1;parking;;;;;;;yes;-72.5915658;-38.7427674;1064967969
node;;;surface;;;parking;;;;;;;customers;-72.5621329;-38.7115753;1067068072
node;;;surface;;;parking;;;;;;;;-72.5619823;-38.7123918;1067068187
node;;;surface;Minimarket San Martin;;parking;;;;;;;;-72.624892;-38.7354627;1070054454
node;;;surface;Hospital Universidad Mayor;;parking;;;;;;;customers;-72.6272374;-38.7299559;1070128839
node;;;underground;Unimarc;;parking;;;;;;;permissive;-72.6317375;-38.7429899;1092882618
node;;;surface;;;parking;;;;;;;;-72.6147387;-38.7330238;1093095604
node;;;surface;Easy;;parking;;;;;;;yes;-72.6079435;-38.7467653;1095184349
node;;;;Revisión Técnica;;parking;;;;;;;;-72.5652171;-38.7135558;1102849770
node;;;;Ebema;;parking;;;;;;;customers;-72.5641138;-38.7140356;1102849771
