_type;_tags_public_transport;_tags_highway;_tags_bus;_lon;_lat;_id
node;platform;bus_stop;yes;-72.6133418;-38.734009;474205723
node;platform;bus_stop;yes;-72.590831;-38.7360893;1225240372
node;platform;bus_stop;yes;-72.611321;-38.7417574;2371511089
node;platform;bus_stop;yes;-72.6102617;-38.7464342;2383738357
node;platform;bus_stop;yes;-72.6233333;-38.7396442;3049421792
node;platform;bus_stop;yes;-72.6204943;-38.7406507;3445253434
node;platform;bus_stop;yes;-72.6247598;-38.7395917;3445253435
node;platform;bus_stop;yes;-72.5594074;-38.7147948;4231136193
node;platform;bus_stop;yes;-72.6073263;-38.7358506;4266761190
node;platform;bus_stop;yes;-72.6102749;-38.7407899;4635448632
node;platform;bus_stop;yes;-72.5914546;-38.7360493;5223499721
node;platform;bus_stop;yes;-72.5824394;-38.7385209;5629142525
node;platform;bus_stop;yes;-72.5983839;-38.7261102;5820721987
node;platform;bus_stop;yes;-72.5505094;-38.7039587;5849666578
node;platform;bus_stop;yes;-72.6201639;-38.7315945;5994145447
node;platform;bus_stop;yes;-72.6215256;-38.7316624;5994145448
node;platform;bus_stop;yes;-72.6209516;-38.7315082;5994145449
node;platform;bus_stop;yes;-72.6219238;-38.7323552;5994145450
node;platform;bus_stop;yes;-72.6204612;-38.7300429;5994145457
node;platform;bus_stop;yes;-72.6202916;-38.729223;5994145458
node;platform;bus_stop;yes;-72.6035153;-38.7511155;6231252710
node;platform;bus_stop;yes;-72.6033211;-38.7516179;6231252711
node;platform;bus_stop;yes;-72.5901293;-38.7352906;6720135134
node;platform;bus_stop;yes;-72.6069122;-38.7641615;6836223891
node;platform;bus_stop;yes;-72.5943034;-38.7367803;6842479054
node;platform;bus_stop;yes;-72.6089949;-38.7655875;6876777454
node;platform;bus_stop;yes;-72.6093535;-38.765662;6876777455
node;platform;bus_stop;yes;-72.6091764;-38.7629333;6876777456
node;platform;bus_stop;yes;-72.6007429;-38.7275145;7118760278
node;platform;bus_stop;yes;-72.5803081;-38.7371024;7278862810
node;platform;bus_stop;yes;-72.5797479;-38.7366724;7278862811
node;platform;bus_stop;yes;-72.5795011;-38.7364437;7278862812
node;platform;bus_stop;yes;-72.5923185;-38.7584002;7610546345
node;platform;bus_stop;yes;-72.5611278;-38.7158488;9348913723
node;platform;bus_stop;yes;-72.5587537;-38.7165754;9348913724
node;platform;bus_stop;yes;-72.5582971;-38.7178083;9348913725
node;platform;bus_stop;yes;-72.5840936;-38.7306968;9404930827
node;platform;bus_stop;yes;-72.5020958;-38.6871554;9724160036
node;platform;bus_stop;yes;-72.5984398;-38.7462768;9869566512
node;platform;bus_stop;yes;-72.5976108;-38.7464675;9869596334
node;platform;bus_stop;yes;-72.5916681;-38.742366;9939662700
node;platform;bus_stop;yes;-72.62176;-38.7541215;10001343764
node;platform;bus_stop;yes;-72.5912463;-38.7358531;10087629307
node;platform;bus_stop;yes;-72.5698712;-38.72958;10122761383
node;platform;bus_stop;yes;-72.6011071;-38.7325676;10129214278
node;platform;bus_stop;yes;-72.5709227;-38.7223315;10129233915
node;platform;bus_stop;yes;-72.5707953;-38.7218734;10130464092
node;platform;bus_stop;yes;-72.5799518;-38.7370924;10185584152
node;platform;bus_stop;yes;-72.5784612;-38.7276609;10236816458
node;platform;bus_stop;yes;-72.5444694;-38.6982799;10913376684
node;platform;bus_stop;yes;-72.6364354;-38.7096794;10923293135
node;platform;bus_stop;yes;-72.6356468;-38.7107678;10923293136
node;platform;bus_stop;yes;-72.6333804;-38.712553;10923293139
node;platform;bus_stop;yes;-72.6330022;-38.7131767;10923293140
node;platform;bus_stop;yes;-72.6311944;-38.7143424;10923293141
node;platform;bus_stop;yes;-72.6298372;-38.7155563;10923293142
node;platform;bus_stop;yes;-72.6274285;-38.7164478;10923293148
node;platform;bus_stop;yes;-72.6275278;-38.7167178;10923293149
node;platform;bus_stop;yes;-72.6239926;-38.71758;10923293150
node;platform;bus_stop;yes;-72.624226;-38.717737;10923293151
node;platform;bus_stop;yes;-72.6214794;-38.7185552;10923293152
node;platform;bus_stop;yes;-72.6196314;-38.7191391;10923293153
node;platform;bus_stop;yes;-72.6187489;-38.7211502;10923293155
node;platform;bus_stop;yes;-72.6120095;-38.727138;10923293156
node;platform;bus_stop;yes;-72.6179807;-38.7238455;10923293157
node;platform;bus_stop;yes;-72.6151617;-38.7250663;10923293158
node;platform;bus_stop;yes;-72.616934;-38.7241864;10923293159
node;platform;bus_stop;yes;-72.6198961;-38.7536287;11057481086
node;platform;bus_stop;yes;-72.5878522;-38.7389471;11283717973
node;platform;bus_stop;yes;-72.6047974;-38.7627455;11365361613
node;platform;bus_stop;yes;-72.6045725;-38.7624827;11365361614
node;platform;bus_stop;yes;-72.6166301;-38.7681215;11365361616
node;platform;bus_stop;yes;-72.615883;-38.7681807;11365361617
node;platform;bus_stop;yes;-72.5054238;-38.6841133;12335630573
node;platform;bus_stop;yes;-72.504518;-38.6842674;12335630574
node;platform;bus_stop;yes;-72.4962153;-38.6887288;12762562460
