_type;_tags_width;_tags_surface;_tags_source:ref;_tags_source;_tags_sidewalk;_tags_ref;_tags_oneway;_tags_old_ref;_tags_official_name;_tags_name;_tags_maxspeed;_tags_lit;_tags_lanes;_tags_highway;_tags_chile:region;_tags_attribution;_tags_alt_name;_tags_access;_nodes;_id;_geometry_centroid_lon;_geometry_centroid_lat;_geometry;_bounds_minlon;_bounds_minlat;_bounds_maxlon;_bounds_maxlat
way;;concrete;Vialidad;;separate;202;yes;205;Cruce Ruta 5 (Mariquina) - Cruce Ruta 206 (Valdivia);Pedro Aguirre Cerda;50;yes;2;trunk;;;Ruta 202;;[9335763668, 9335763667, 9335763666, 280618350, 9335763665, 9335763683, 9335763682, 9335763681];25735079;-73.21362993803488;-39.804537641952734;[{'lat': -39.8040242, 'lon': -73.2134795}, {'lat': -39.8041958, 'lon': -73.2135079}, {'lat': -39.8043661, 'lon': -73.2135475}, {'lat': -39.8045346, 'lon': -73.2135982}, {'lat': -39.8046249, 'lon': -73.2136303}, {'lat': -39.8047144, 'lon': -73.2136655}, {'lat': -39.8048923, 'lon': -73.2137412}, {'lat': -39.8050679, 'lon': -73.2138253}];-73.2138253;-39.8050679;-73.2134795;-39.8040242
way;;paved;Vialidad;;separate;202;yes;205;Cruce Ruta 5 (Mariquina) - Cruce Ruta 206 (Valdivia);Avenida Pedro Montt;50;yes;4;trunk;;;Ruta 202;;[280621147, 2622459662];28198737;-73.2300299;-39.81902895;[{'lat': -39.8188907, 'lon': -73.229873}, {'lat': -39.8191672, 'lon': -73.2301868}];-73.2301868;-39.8191672;-73.229873;-39.8188907
way;;asphalt;Vialidad;;right;202;yes;205;Cruce Ruta 5 (Mariquina) - Cruce Ruta 206 (Valdivia);Puente Calle Calle;50;yes;2;trunk;;;Ruta 202;;[447603530, 280621147];38063073;-73.2289025;-39.81822015;[{'lat': -39.8175496, 'lon': -73.227932}, {'lat': -39.8188907, 'lon': -73.229873}];-73.229873;-39.8188907;-73.227932;-39.8175496
way;;asphalt;Vialidad;;right;202;yes;205;Cruce Ruta 5 (Mariquina) - Cruce Ruta 206 (Valdivia);Puente Calle Calle;50;yes;2;trunk;;;Ruta 202;;[1194219458, 1194219272];103424341;-73.2288317;-39.8182822;[{'lat': -39.818972, 'lon': -73.2298}, {'lat': -39.8175924, 'lon': -73.2278634}];-73.2298;-39.818972;-73.2278634;-39.8175924
way;;concrete;Vialidad;;right;202;yes;205;Cruce Ruta 5 (Mariquina) - Cruce Ruta 206 (Valdivia);Pedro Aguirre Cerda;50;yes;2;trunk;;;Ruta 202;;[1194219210, 7644424357];103424371;-73.2237563;-39.8145999;[{'lat': -39.8143002, 'lon': -73.22333}, {'lat': -39.8148996, 'lon': -73.2241826}];-73.2241826;-39.8148996;-73.22333;-39.8143002
way;;concrete;Vialidad;;right;202;yes;205;Cruce Ruta 5 (Mariquina) - Cruce Ruta 206 (Valdivia);Pedro Aguirre Cerda;50;yes;2;trunk;;;Ruta 202;;[3440120137, 9337716326, 9337716325, 9337716324, 9337716323, 9337716322, 9335763686, 9337716321, 9337716320];103424392;-73.21401568166735;-39.80553584976159;[{'lat': -39.8062986, 'lon': -73.2145684}, {'lat': -39.80598, 'lon': -73.2142675}, {'lat': -39.8058115, 'lon': -73.2141316}, {'lat': -39.8056384, 'lon': -73.2140059}, {'lat': -39.805461, 'lon': -73.2138907}, {'lat': -39.8052798, 'lon': -73.2137862}, {'lat': -39.8050951, 'lon': -73.2136927}, {'lat': -39.8049231, 'lon': -73.2136167}, {'lat': -39.8047489, 'lon': -73.2135503}];-73.2145684;-39.8062986;-73.2135503;-39.8047489
way;;paved;Vialidad;;;202;yes;205;Cruce Ruta 5 (Mariquina) - Cruce Ruta 206 (Valdivia);Avenida Pedro Montt;50;yes;2;trunk;;;Ruta 202;;[447588228, 1194025180];139732940;-73.23038165;-39.81947165;[{'lat': -39.8195072, 'lon': -73.230424}, {'lat': -39.8194361, 'lon': -73.2303393}];-73.230424;-39.8195072;-73.2303393;-39.8194361
way;;concrete;Vialidad;;;206;yes;207;Cruce Ruta 5 (Paillaco) - Cruce Ruta 202 (Valdivia);Avenida Ramón Picarte;50;yes;2;trunk;;;;;[1183274158, 1183273119, 1183273405, 9343593307, 9343593308, 9343593312, 1183275261, 9343607440, 9343607437, 9364783172, 447584984];207357898;-73.20717364136576;-39.84022707070335;[{'lat': -39.8409265, 'lon': -73.2063182}, {'lat': -39.840626, 'lon': -73.2066859}, {'lat': -39.8399967, 'lon': -73.2074551}, {'lat': -39.8398877, 'lon': -73.2075892}, {'lat': -39.8398463, 'lon': -73.2076398}, {'lat': -39.8395862, 'lon': -73.207958}, {'lat': -39.8388369, 'lon': -73.2088747}, {'lat': -39.8383038, 'lon': -73.2095269}, {'lat': -39.8381472, 'lon': -73.2097185}, {'lat': -39.8381078, 'lon': -73.2097667}, {'lat': -39.8380429, 'lon': -73.2098461}];-73.2098461;-39.8409265;-73.2063182;-39.8380429
way;;concrete;Vialidad;;;206;yes;207;Cruce Ruta 5 (Paillaco) - Cruce Ruta 202 (Valdivia);Avenida Ramón Picarte;50;yes;2;trunk;;;;;[447588228, 2175626091, 9340606782, 9340606781, 1194025192, 9340606780, 9340606779, 9340606778, 9340606783, 9343838108];256284690;-73.23017131219572;-39.81985367316302;[{'lat': -39.8195072, 'lon': -73.230424}, {'lat': -39.8195707, 'lon': -73.2303496}, {'lat': -39.8196602, 'lon': -73.2302618}, {'lat': -39.8197417, 'lon': -73.230193}, {'lat': -39.8198272, 'lon': -73.2301327}, {'lat': -39.8199093, 'lon': -73.2300849}, {'lat': -39.8199938, 'lon': -73.230045}, {'lat': -39.8200803, 'lon': -73.2300132}, {'lat': -39.8201683, 'lon': -73.2299897}, {'lat': -39.8202309, 'lon': -73.2299715}];-73.230424;-39.8202309;-73.2299715;-39.8195072
way;;paved;Vialidad;;;202;yes;205;Cruce Ruta 5 (Mariquina) - Cruce Ruta 206 (Valdivia);Avenida Pedro Montt;50;yes;2;trunk;;;Ruta 202;;[280632419, 309796299];319603102;-73.23046705;-39.8194115;[{'lat': -39.8193745, 'lon': -73.2304219}, {'lat': -39.8194485, 'lon': -73.2305122}];-73.2305122;-39.8194485;-73.2304219;-39.8193745
