_type;_tags_wheelchair;_tags_website;_tags_toilets:wheelchair;_tags_smoking;_tags_shop;_tags_phone;_tags_payment:credit_cards;_tags_payment:cash;_tags_opening_hours;_tags_office;_tags_name;_tags_designation;_tags_building:levels;_tags_building;_tags_addr:street;_tags_addr:state;_tags_addr:housenumber;_tags_addr:housename;_tags_addr:district;_tags_addr:country;_tags_addr:city;_nodes;_lon;_lat;_id;_geometry_centroid_lon;_geometry_centroid_lat;_geometry;_bounds_minlon;_bounds_minlat;_bounds_maxlon;_bounds_maxlat
node;yes;https://www.unimarc.cl/;yes;;supermarket;;yes;yes;;;Jumbo;Supermercado;;;Errázuriz;Región de Los Ríos;1040;Jumbo;Valdivia;CL;Valdivia;;-73.2343052;-39.8183923;1361163625;;;;;;;
node;;;;;supermarket;;;;;;Supermercado Del Barrio;;;;;;;;;;;;-73.2242731;-39.8523954;1446309476;;;;;;;
node;;;;;supermarket;;;;;;Supermercado El Trébol;;;;Avenida René Schneider;Región de Los Ríos;3722;;Valdivia;CL;Valdivia;;-73.2190398;-39.847793;1446309478;;;;;;;
node;;;;;supermarket;;;;;;;;;;;;;;;;;;-73.2594624;-39.8138633;1918796923;;;;;;;
node;;;;;supermarket;;;;;;Donde Chile;;;;;;;;;;;;-73.2484443;-39.8443408;3247099152;;;;;;;
node;;;;;supermarket;;;;;;Minimercado Verdi-Frut;;;;Aníbal Pinto;Región de Los Ríos;;;Valdivia;CL;Valdivia;;-73.2399497;-39.8238671;4328597439;;;;;;;
node;;;;;supermarket;;;;;;Supermercado de las Hierbas;;;;Arauco;Región de Los Ríos;;;Valdivia;CL;Valdivia;;-73.2460681;-39.8151227;4432864413;;;;;;;
node;;;;;supermarket;;;;Mo-Sa 07:30-00:00;;Multipan Hogar de la empanada;;;;Avenida Circunvalación Sur;Región de Los Ríos;4960;;Valdivia;CL;Valdivia;;-73.2030698;-39.8450202;4514681799;;;;;;;
node;;;;;supermarket;;;;;;Minimercado San Andres;;;;;;;;;;;;-73.2338956;-39.8354518;4548454710;;;;;;;
node;;;;;supermarket;;;;;;Cecinas PACEL;;;;;;;;;;;;-73.2124353;-39.8357334;4549711590;;;;;;;
node;;;;;supermarket;;;;;;Fruna;;;;Avenida Ramón Picarte;;;;;CL;Valdivia;;-73.239213;-39.8152524;4549764590;;;;;;;
node;yes;;;;supermarket;;;;;;Supermercado El Trébol;;;;Avenida Simpson;Región de Los Ríos;499;;Valdivia;CL;Valdivia;;-73.2455601;-39.8416452;4747246622;;;;;;;
node;;;;;supermarket;;;;;;El Tejazo;;;;Avenida Los Laureles;Región de Los Ríos;;;Valdivia;CL;Valdivia;;-73.2552868;-39.8144672;5246295349;;;;;;;
node;;;;;supermarket;;;;;;Supermercado Acuenta;;;;Anfión Muñoz;Región de Los Ríos;360;;Valdivia;CL;Valdivia;;-73.2356818;-39.8158834;5302681736;;;;;;;
node;;;;;supermarket;;;;;;Minimercado Galeon;;;;General Baquedano;Región de Los Ríos;513;;Valdivia;CL;Valdivia;;-73.2429702;-39.8228519;5648552121;;;;;;;
node;;;;;supermarket;;;;;;Eltit;;;;Camilo Henríquez;Región de Los Ríos;780;;Valdivia;CL;Valdivia;;-73.2447693;-39.8173522;6242623086;;;;;;;
node;;https://www.facebook.com/permalink.php?id=101750911812865&story_fbid=113839217270701;;;supermarket;;yes;yes;;;Bodega Market;;;;Avenida Ramón Picarte;Región de Los Ríos;2379;;Valdivia;CL;Valdivia;;-73.2196047;-39.8304649;8425845015;;;;;;;
node;;;;;supermarket;;;;;;Supermercado Gavilan;;;;Avenida Argentina;Región de Los Ríos;2455;;Valdivia;CL;Valdivia;;-73.2117909;-39.8248672;8595650161;;;;;;;
way;;;;;supermarket;;;;;;Unimarc;;;yes;Arauco;Región de Los Ríos;561;;Valdivia;CL;Valdivia;[1314278288, 1314278209, 1314278239, 1314278166, 1314278128, 1314278164, 1314278159, 1314278282, 1314278288];;;116619860;-73.2412606470742;-39.81669012022082;[{'lat': -39.8161565, 'lon': -73.2415167}, {'lat': -39.8162874, 'lon': -73.240693}, {'lat': -39.8172353, 'lon': -73.2409711}, {'lat': -39.8171, 'lon': -73.2417259}, {'lat': -39.8169105, 'lon': -73.2416615}, {'lat': -39.8169311, 'lon': -73.2417688}, {'lat': -39.8167992, 'lon': -73.2419083}, {'lat': -39.8165561, 'lon': -73.2416454}, {'lat': -39.8161565, 'lon': -73.2415167}];-73.2419083;-39.8172353;-73.240693;-39.8161565
way;;;;;supermarket;;;;;;Hiper Lider;;;yes;Santiago Bueras;;1400;;;;Valdivia;[1329428888, 1329428894, 1329428886, 1329428898, 1329428893, 1329428911, 1329428903, 1329428882, 1329428906, 1329428878, 4354505931, 1329488633, 7722228176, 4354505930, 8069936322, 4354505929, 1329488583, 1329488600, 4354505654, 4354490326, 4354490327, 7722228146, 2824782783, 4354490328, 4354490329, 4354490330, 1329488610, 1329488640, 1329428888];;;118145974;-73.23712460646162;-39.827709985731786;[{'lat': -39.8276857, 'lon': -73.2380123}, {'lat': -39.827508, 'lon': -73.2377622}, {'lat': -39.827587, 'lon': -73.2376734}, {'lat': -39.8273364, 'lon': -73.2372949}, {'lat': -39.8272363, 'lon': -73.2374073}, {'lat': -39.8271057, 'lon': -73.2372101}, {'lat': -39.8272412, 'lon': -73.2370645}, {'lat': -39.8271557, 'lon': -73.2369298}, {'lat': -39.8272741, 'lon': -73.2367889}, {'lat': -39.8272353, 'lon': -73.2367304}, {'lat': -39.8275611, 'lon': -73.2363923}, {'lat': -39.8275415, 'lon': -73.2363584}, {'lat': -39.827526, 'lon': -73.2363317}, {'lat': -39.827524, 'lon': -73.2362816}, {'lat': -39.8275497, 'lon': -73.2362511}, {'lat': -39.8276154, 'lon': -73.2361733}, {'lat': -39.8279324, 'lon': -73.2366741}, {'lat': -39.8282392, 'lon': -73.2371559}, {'lat': -39.828309, 'lon': -73.2372658}, {'lat': -39.8283799, 'lon': -73.2373912}, {'lat': -39.828386, 'lon': -73.2374188}, {'lat': -39.8283648, 'lon': -73.237449}, {'lat': -39.8283509, 'lon': -73.2374632}, {'lat': -39.8283348, 'lon': -73.2374803}, {'lat': -39.8283228, 'lon': -73.2374609}, {'lat': -39.8282968, 'lon': -73.237486}, {'lat': -39.8282468, 'lon': -73.2374076}, {'lat': -39.8278726, 'lon': -73.2378102}, {'lat': -39.8276857, 'lon': -73.2380123}];-73.2380123;-39.828386;-73.2361733;-39.8271057
way;;;;;supermarket;;;;;;Mayorista 10;;;supermarket;Avenida Ramón Picarte;Región de Los Ríos;2593;;Valdivia;CL;Valdivia;[1377303820, 1377303827, 1377303828, 1377303824, 1377303823, 1377303821, 1377303822, 1377303819, 1377303826, 1377303829, 1377303825, 1377303820];;;123539813;-73.21625681995307;-39.833573298487735;[{'lat': -39.8335534, 'lon': -73.2166383}, {'lat': -39.8332219, 'lon': -73.2161769}, {'lat': -39.8335043, 'lon': -73.2158329}, {'lat': -39.833567, 'lon': -73.21592}, {'lat': -39.8336199, 'lon': -73.2158555}, {'lat': -39.8338972, 'lon': -73.2162416}, {'lat': -39.8337874, 'lon': -73.2163755}, {'lat': -39.8338346, 'lon': -73.2164412}, {'lat': -39.833682, 'lon': -73.2166271}, {'lat': -39.8337128, 'lon': -73.2166701}, {'lat': -39.83364, 'lon': -73.2167588}, {'lat': -39.8335534, 'lon': -73.2166383}];-73.2167588;-39.8338972;-73.2158329;-39.8332219
way;;;;;supermarket;;;;;;Unimarc;;;yes;Avenida Francia;Región de Los Ríos;2651;;Valdivia;CL;Valdivia;[2162744567, 2162744558, 2162744549, 2162744586, 2162744560, 2162744543, 2162744584, 2162744593, 2162744567];;;206274813;-73.23102548030433;-39.83733273555191;[{'lat': -39.8370707, 'lon': -73.231242}, {'lat': -39.8371282, 'lon': -73.230515}, {'lat': -39.8376443, 'lon': -73.2305909}, {'lat': -39.8375724, 'lon': -73.2314209}, {'lat': -39.8373285, 'lon': -73.2313868}, {'lat': -39.8373094, 'lon': -73.231594}, {'lat': -39.8370424, 'lon': -73.2315523}, {'lat': -39.8370579, 'lon': -73.2313843}, {'lat': -39.8370707, 'lon': -73.231242}];-73.231594;-39.8376443;-73.230515;-39.8370424
way;;;;;supermarket;;;;;;Lider Express;;;yes;Avenida Ramón Picarte;Región de Los Ríos;640;;Valdivia;CL;Valdivia;[2938213407, 2938213409, 6101463169, 2938213418, 5200167904, 2938213466, 5200168266, 5200168255, 2938213419, 2938213100, 2938213404, 2938213467, 6101463168, 2938213407];;;290267283;-73.2409488006994;-39.81439410642546;[{'lat': -39.8146883, 'lon': -73.2407642}, {'lat': -39.8147354, 'lon': -73.240785}, {'lat': -39.8147348, 'lon': -73.2407897}, {'lat': -39.8146772, 'lon': -73.2412352}, {'lat': -39.8142044, 'lon': -73.2411896}, {'lat': -39.8141053, 'lon': -73.2411826}, {'lat': -39.814135, 'lon': -73.2409691}, {'lat': -39.8141568, 'lon': -73.2408273}, {'lat': -39.8142145, 'lon': -73.2405201}, {'lat': -39.8144387, 'lon': -73.2406375}, {'lat': -39.8144184, 'lon': -73.2408152}, {'lat': -39.8146657, 'lon': -73.2408849}, {'lat': -39.8146872, 'lon': -73.2407701}, {'lat': -39.8146883, 'lon': -73.2407642}];-73.2412352;-39.8147354;-73.2405201;-39.8141053
way;;;;;supermarket;;;;;;aCuenta;;;yes;Avenida Pedro Montt;Región de Los Ríos;4300;;Valdivia;CL;Valdivia;[2984051441, 2984051442, 2984051443, 2984051444, 2984051445, 2984051446, 2984051447, 4573898508, 4573898509, 2984051448, 2984051449, 2984051450, 2984051441];;;294785202;-73.23091181880645;-39.849996655889164;[{'lat': -39.8498459, 'lon': -73.231285}, {'lat': -39.8502008, 'lon': -73.2313736}, {'lat': -39.8502575, 'lon': -73.230988}, {'lat': -39.8501743, 'lon': -73.2309673}, {'lat': -39.850234, 'lon': -73.2305932}, {'lat': -39.8499732, 'lon': -73.2304967}, {'lat': -39.8499867, 'lon': -73.2304043}, {'lat': -39.8498878, 'lon': -73.2303796}, {'lat': -39.8498761, 'lon': -73.2304586}, {'lat': -39.8498321, 'lon': -73.2304476}, {'lat': -39.8497256, 'lon': -73.2311714}, {'lat': -39.8498577, 'lon': -73.2312044}, {'lat': -39.8498459, 'lon': -73.231285}];-73.2313736;-39.8502575;-73.2303796;-39.8497256
