_type;_tags_wikipedia;_tags_wikidata;_tags_website;_tags_name;_tags_int_name;_tags_description;_tags_building;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:housenumber;_tags_addr:district;_tags_addr:country;_tags_addr:city;_lon;_lat;_id
node;;;;Centro de Formación Técnica Santo Tomás Valdivia;;;;college;Avenida Ramón Picarte;;1160;;;Valdivia;-73.2331458;-39.8174367;11980812161
way;;;;INACAP Universidad Tecnológica de Chile - Valdivia;;;;college;Pedro Aguirre Cerda;Región de Los Ríos;2115;Valdivia;CL;Valdivia;;;480450137
way;;;;Escuela de Formación de Carabineros Grupo Valdivia;;Esfocar;yes;college;José Victorino Lastarria;Región de Los Ríos;845;Valdivia;CL;Valdivia;;;547289576
node;;;;Instituto Alemán Karl Anwandter;Deutsche Schule;;no;school;;;;;;;-73.2529573;-39.8121007;1183468410
node;;;;Colegio San Lucas;;;;school;;;;;;;-73.2560472;-39.8352883;4550060190
node;;;;Centro de Integracion Laboral;;;;school;Avenida Ramón Picarte;Región de Los Ríos;1800;Valdivia;CL;Valdivia;-73.2265377;-39.8245634;4988929432
node;;;;Colegio Bicentenario Helvecia;;;;school;Avenida René Schneider;;3380;;;Valdivia;-73.2168186;-39.8438489;5846898701
node;;;;Escuela Diferencial Ann Sullivan;;;;school;Pasaje 6;Región de Los Ríos;1179;Valdivia;CL;Valdivia;-73.2357863;-39.8308131;9137826462
node;;;;Escuela Leonardo da Vinci;;;;school;Domeyko;Región de Los Ríos;310;Valdivia;CL;Valdivia;-73.2470484;-39.8258906;9137840448
node;;;;Escuela Fedor Dostoievski;;;;school;Avenida Lynch;Región de Los Ríos;77;Valdivia;CL;Valdivia;-73.2138802;-39.8231066;9144663800
node;;;;Centro Educacional Integrada De Adultos Luis Moll Briones;;;;school;Santiago Bueras;Región de Los Ríos;1839;Valdivia;CL;Valdivia;-73.2297983;-39.8253016;9145927539
node;;;;Liceo Politecnico Benjamin Vicuna Mackenna;;;;school;;;;;CL;;-73.2367413;-39.8333977;10974325895
node;;;;Colegio de MUSICA JUAN SEBASTIAN BACH;;;;school;;;;;CL;;-73.2082634;-39.8264804;10974441367
node;;;;Magus After School;;;;school;Janequeo;;198;;CL;Valdivia;-73.2449344;-39.8107894;10981154012
node;;;;Lourdes;;;;school;Pedro Aguirre Cerda;;1640;;CL;Valdivia;-73.2127366;-39.7946702;10990201704
node;;;;Centro Educacion Adultos Andres Bello;;;;school;;;;;CL;;-73.2404611;-39.8177027;11331846211
node;;;;Colegio Gandhi;;;;school;;;;;CL;;-73.2061154;-39.841523;11333223879
node;;;;Centro de Educacion de Adultos Sandrock;;;;school;;;;;CL;;-73.2414886;-39.8116719;11333491887
node;;;;Colegio Parvulario Genesis;;;;school;;;;;CL;;-73.2053662;-39.8393978;11333732263
node;;;;Escuela de Lenguaje Mis Palabras;;;;school;;;;;CL;;-73.2199661;-39.8332687;11335748372
node;;;;Centro de Estimulacion Temprana Inka Poyen;;;;school;;;;;CL;;-73.2261604;-39.8534613;11336205862
node;;;;Hampton College;;;;school;;;;;CL;;-73.2146376;-39.7992662;11336374151
node;;;;Centro Educacional Ríos De Valdivia;;;;school;Avenida Ramón Picarte;;;;CL;Valdivia;-73.2080878;-39.8391067;11336441048
node;;;;Escuela Hospitalaria Valdivia;;;;school;;;;;CL;;-73.2397515;-39.8316815;11336577590
node;;;;Escuela de Lenguaje Amankay;;;;school;;;;;CL;;-73.2083686;-39.8298826;11349602265
node;;;;Colegio San Lucas de Valdivia;;;;school;;;;;CL;;-73.2568001;-39.8358937;11349624795
node;;;;Centro Educacional Infantil Meliantu;;;;school;;;;;CL;;-73.2183729;-39.8315511;11349625424
node;;;;Colegio Ciencias y Tecnologia Luis Pasteur;;;;school;;;;;CL;;-73.2053405;-39.8291705;11368823050
node;;;;Colegio Ecológico San Felipe;;;;school;Avenida Ramón Picarte;;2805;;;Valdivia;-73.213889;-39.8351597;11414601743
node;;;;Jardin infantil musical palomillas;;;;school;Río Cau Cau;;3309;;;Valdivia;-73.2055223;-39.8392097;11432386036
node;;;;Escuela de Parvulo Duendelin;;;;school;;;;;;;-73.250747;-39.8484635;11999905906
way;;;;Liceo Técnico;;;;school;Ramon Picarte;Región de Los Ríos;2305;Valdivia;CL;Valdivia;;;103409098
way;;;;Escuela Mulato Gil de Castro;;;;school;;;;;;;;;103413483
way;;;;Liceo Industrial de Valdivia;;;;school;René Schneider;Región de Los Ríos;188;Valdivia;CL;Valdivia;;;103413489
way;;;;Liceo Benjamín Vicuña Mackena;;;;school;;;;;;;;;103413505
way;;;;Colegio Belén;;;;school;;;;;;;;;103450726
way;;;;Escuela Francia;;;;school;David Arellano;Región de Los Ríos;2727;Valdivia;CL;Valdivia;;;103453990
way;;;;Instituto Italia;;;;school;Avenida Francia;Región de Los Ríos;2670;Valdivia;CL;Valdivia;;;103454058
way;;;;Instituto Salesiano;;;;school;Pedro de Valdivia;Región de Los Ríos;480;Valdivia;CL;Valdivia;;;116619855
way;;;;Instituto Alemán Karl Anwandter;;;;school;Avenida Los Laureles;Región de Los Ríos;050;Valdivia;CL;Valdivia;;;116624760
