_type;_tags_surface;_tags_supervised;_tags_public_transport;_tags_parking;_tags_name;_tags_fee;_tags_bus;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:housenumber;_tags_addr:housename;_tags_addr:district;_tags_addr:country;_tags_addr:city;_lon;_lat;_id
node;;;station;;Terminal  Linea nº2;;yes;bus_station;;;;;;;;-73.2197071;-39.7713065;1350682833
node;;;station;;Terminal Linea 11;;yes;bus_station;Avenida René Schneider;Región de Los Ríos;;;Valdivia;CL;Valdivia;-73.2273999;-39.8539476;1446309477
node;;;station;;Aníbal Pinto alt. 1111;;yes;bus_station;Aníbal Pinto;Región de Los Ríos;1111;;Valdivia;CL;Valdivia;-73.2417345;-39.8205904;4364952294
node;;;;;Taller Pullman;;;bus_station;;;;;;;;-73.1953736;-39.8504724;4531899991
node;;;station;;Cruz del Sur;;yes;bus_station;;;;;;;;-73.2290673;-39.8239551;4715716789
way;;;station;;Terrapuerto Valdivia;;yes;bus_station;Anfión Muñoz;Región de Los Ríos;360;;Valdivia;CL;Valdivia;;;103403001
way;;;station;;Terrapuerto Valdivia;;yes;bus_station;Carlos Anwandter;;;;;;Valdivia;;;234307353
way;;;station;;Buses a la Costa (Niebla-Los Molinos- San Ignacio);;yes;bus_station;Caupolicán;;;;;;Valdivia;;;435073782
way;;;station;;Buses San Sebastián;;;bus_station;Avenida Ecuador;;2221;;;;Valdivia;;;1052917189
node;paved;yes;;underground;;yes;;parking;Arauco;Región de Los Ríos;561;Mall Plaza Los Rios;Valdivia;CL;Valdivia;-73.2422936;-39.8160606;1314279501
node;;;;surface;Avenida Costanera Arturo Prat;;;parking;;;;;;;;-73.2457265;-39.8098618;1373247622
node;;;;;Estacionamiento;;;parking;;;;;;;;-73.2509032;-39.8330214;1373261648
node;;;;;Lider;;;parking;;;;;;;;-73.2371616;-39.8281385;1408805984
node;;;;;Estación Valdivia;;;parking;;;;;;;;-73.2239912;-39.8246187;1657093774
node;;;;surface;;;;parking;;;;;;;;-73.2463604;-39.8131748;2415428906
node;;;;;Estacionamiento de Sodimac;;;parking;;;;;;;;-73.206912;-39.8411677;2468869340
node;;;;;Río Blue Estacionamiento;;;parking;;;;;;;;-73.2493926;-39.8192244;3426984456
node;asphalt;;;surface;Estacionamiento Contratistas CCK;;;parking;;;;;;;;-73.2801929;-39.835521;4909842332
node;;;;;;;;parking;;;;;;;;-73.2368262;-39.8142051;6836368206
node;concrete;;;surface;;;;parking;;;;;;;;-73.2574301;-39.8009031;8707728297
node;;;;surface;;;;parking;;;;;;;;-73.2176153;-39.827302;12189776242
node;ground;;;surface;;;;parking;;;;;;;;-73.2324818;-39.8326294;12544932868
way;asphalt;yes;;surface;;;;parking;;;;;;;;;;111997402
way;;;;;;;;parking;;;;;;;;;;118152077
way;;;;;Yungay;;;parking;;;;;;;;;;124139718
way;;;;surface;Clínica Alemana;;;parking;;;;;;;;;;124493173
way;;;;;SurMédica;;;parking;;;;;;;;;;124494108
way;;;;;Universidad Austral de Chile;;;parking;;;;;;;;;;124965312
way;;;;;Universidad Austral;;;parking;;;;;;;;;;124965316
way;;;;surface;;;;parking;;;;;;;;;;124965317
way;;;;;Universidad Austral;;;parking;;;;;;;;;;125199376
way;asphalt;;;surface;SurMédica;;;parking;;;;;;;;;;125436519
way;;;;surface;Caupolicán/Chacabuco;yes;;parking;;;;;;;;;;125436586
way;;;;;;;;parking;;;;;;;;;;125669294
way;;;;;Fac. de Ciencias;;;parking;;;;;;;;;;125674011
way;;;;;Universidad Austral de Chile;;;parking;;;;;;;;;;125674013
way;;;;;Universidad Austral de Chile Campus Miraflores;;;parking;;;;;;;;;;125706128
way;;;;;Universidad Austral de Chile Campus Miraflores;;;parking;;;;;;;;;;125706129
way;;;;;Salfa Sur;;;parking;;;;;;;;;;125708560
way;;;;;;;;parking;;;;;;;;;;126859337
way;;;;;;;;parking;;;;;;;;;;126859361
way;;;;;Universidad Austral de Chile Campus Miraflores;;;parking;;;;;;;;;;127227950
way;;;;;Consultorio Las Ánimas;;;parking;;;;;;;;;;127236525
way;;;;;;;;parking;;;;;;;;;;127468583
way;;;;;Universidad Austral de Chile;;;parking;;;;;;;;;;127468584
way;;;;;Universidad Austral de Chile;;;parking;;;;;;;;;;127468585
way;;;;;;;;parking;;;;;;;;;;127468587
way;;;;;Fac. Ciencias Forestales y RR.NN.;;;parking;;;;;;;;;;129475862
way;;;;;Fac. Agronomía;;;parking;;;;;;;;;;129475863
way;;;;;Universidad Austral de Chile;;;parking;;;;;;;;;;129475865
way;;;;;;;;parking;;;;;;;;;;129476145
way;;;;;Vicerectoría Académica;;;parking;;;;;;;;;;129476146
way;;;;lane;Hospital Regional Valdivia;;;parking;;;;;;;;;;129757206
way;;;;;Universidad Austral;;;parking;;;;;;;;;;130053355
way;;;;;;;;parking;;;;;;;;;;130767282
way;;;;;;;;parking;;;;;;;;;;131467031
way;;;;;;;;parking;;;;;;;;;;133091164
way;;;;;Colegio Windsor;;;parking;;;;;;;;;;135364055
way;;;;;;;;parking;;;;;;;;;;135450990
way;;;;;;;;parking;;;;;;;;;;136016126
way;;;;;Walter Smith;;;parking;;;;;;;;;;136016166
way;;;;surface;;;;parking;;;;;;;;;;136018341
way;;;;;Fogón Palestino;;;parking;;;;;;;;;;163548342
way;;;;;;;;parking;;;;;;;;;;163548445
way;;;;;Hospital Regional Valdivia;;;parking;;;;;;;;;;163548446
way;;;;;;;;parking;;;;;;;;;;174191152
way;;;;;Universidad Austral de Chile;;;parking;;;;;;;;;;180571354
way;;;;;Universidad Austral de Chile;;;parking;;;;;;;;;;180571682
way;;;;street_side;Instituto Alemán Karl Anwandter;;;parking;;;;;;;;;;181460208
way;;;;surface;Avenida Alemania / Camilo Henríquez;;;parking;;;;;;;;;;181669933
way;;;;surface;Chacabuco;;;parking;;;;;;;;;;197683519
way;;;;;Universidad Austral de Chile;;;parking;;;;;;;;;;205129488
way;;;;;;;;parking;;;;;;;;;;206269885
way;;;;surface;Estacionamiento Santo Tomás;;;parking;;;;;;;;;;208821678
way;;;;surface;Clínica Alemana;no;;parking;;;;;;;;;;208825703
way;;;;;;;;parking;;;;;;;;;;223930738
way;;;;;;;;parking;;;;;;;;;;232724442
way;;;;;;;;parking;;;;;;;;;;232724449
way;;;;;Carcel Valdivia;;;parking;;;;;;;;;;240408390
way;;;;;Banco Chile;;;parking;;;;;;;;;;268112503
way;;;;;Cementerio Parque Los Laureles de Valdivia;;;parking;;;;;;;;;;275081887
way;;;;;;;;parking;;;;;;;;;;275127227
way;;;;;;;;parking;;;;;;;;;;275133147
way;;;;surface;Buses a la Costa;;;parking;;;;;;;;;;275798637
way;;;;;;;;parking;;;;;;;;;;277312395
way;;;;;;;;parking;;;;;;;;;;277314583
way;;;;;;;;parking;;;;;;;;;;278043665
way;;yes;;surface;Hotel Melillanca;no;;parking;;;;;;;;;;282638333
way;;;;surface;;no;;parking;;;;;;;;;;294785203
way;;;;;;;;parking;;;;;;;;;;298172898
way;;;;;Cementerio Municipal N°2;;;parking;;;;;;;;;;298948302
way;;;;;;;;parking;;;;;;;;;;305077144
way;;;;;;;;parking;;;;;;;;;;339603560
way;;;;;;;;parking;;;;;;;;;;361421388
way;asphalt;;;surface;Estacionamiento Terrapuerto Valdivia;yes;;parking;;;;;;;;;;404172565
way;;;;;Aliwen;;;parking;;;;;;;;;;406658282
way;;;;;;;;parking;;;;;;;;;;431581882
way;;;;;;;;parking;;;;;;;;;;431582572
way;;;;;;;;parking;;;;;;;;;;431582574
way;;;;;Estacionamiento Municipal;;;parking;;;;;;;;;;434943708
way;;;;;;;;parking;;;;;;;;;;434953257
way;;;;;;;;parking;;;;;;;;;;435071293
way;;;;;;;;parking;;;;;;;;;;435212844
way;;;;;;;;parking;;;;;;;;;;435213437
