_type;_tags_shelter;_tags_public_transport;_tags_network;_tags_name;_tags_highway;_tags_departures_board;_tags_bus;_tags_bench;_lon;_lat;_id
node;yes;platform;20 - 4 - 3 - 1;20 - 4 - 1 - 3;bus_stop;no;yes;no;-73.2360313;-39.8157814;1363720932
node;;platform;;1, 3;bus_stop;;yes;;-73.2493638;-39.8276212;1369154319
node;;platform;;1, 3;bus_stop;;yes;;-73.250646;-39.8273627;1369154324
node;;platform;;1, 3;bus_stop;;yes;;-73.2508427;-39.8304104;1369154326
node;;platform;;;bus_stop;no;yes;;-73.2412297;-39.812531;1369637825
node;;platform;;;bus_stop;;yes;;-73.2859337;-39.8415186;1369639816
node;;platform;;;bus_stop;;yes;;-73.2331313;-39.8377956;1369650801
node;;platform;;;bus_stop;;yes;;-73.2267903;-39.837953;1369659764
node;yes;platform;;P442 - Francia / René Schneider;bus_stop;;yes;;-73.2203014;-39.8364517;1369666632
node;;platform;;;bus_stop;;yes;;-73.231576;-39.8449786;1369666864
node;;platform;;;bus_stop;;yes;;-73.231764;-39.8377394;1371765250
node;;platform;;;bus_stop;;yes;;-73.2059692;-39.8411051;1371780167
node;yes;platform;;Paradero Chacabuco / Galeria NASS;bus_stop;no;yes;;-73.2446442;-39.8131217;1373247640
node;yes;platform;;P48 - Arauco / Camilo Henríquez - Caupolicán;bus_stop;;yes;no;-73.2448468;-39.8154458;1373254376
node;no;platform;;P49 - Mall;bus_stop;;yes;no;-73.2426408;-39.8158297;1373258224
node;yes;platform;;P-512, Ruta T350/Cerv. Kunstmann;bus_stop;no;yes;yes;-73.2777251;-39.8375999;1373282500
node;;platform;;Avenida Francia / Avenida Italia;bus_stop;;yes;;-73.2367939;-39.8365536;1373976541
node;;platform;;4, 5;bus_stop;;yes;;-73.2377496;-39.8318897;1373976542
node;yes;platform;;Paradero UACh;bus_stop;;yes;no;-73.2515478;-39.8068396;1374009073
node;;platform;;1, 2, 3;bus_stop;;yes;;-73.2487941;-39.8176199;1375039238
node;;platform;;;bus_stop;;yes;;-73.229538;-39.8389101;1376078361
node;;platform;;;bus_stop;;yes;;-73.2397214;-39.8299819;1382273096
node;;platform;;;bus_stop;;yes;;-73.2385962;-39.8356234;1382495123
node;yes;platform;;P73 - Picarte / Pedro Montt;bus_stop;;yes;yes;-73.2313135;-39.8189889;1382517254
node;;platform;;1, 3;bus_stop;;yes;;-73.2505834;-39.8287883;1383813038
node;;platform;;Paradero Carampangue / Camilo Henríquez;bus_stop;;yes;;-73.2451623;-39.8119184;1388022601
node;yes;platform;;P82 - Picarte / Simpson;bus_stop;;yes;;-73.2222731;-39.8281432;1389200595
node;;platform;;;bus_stop;;yes;;-73.2367398;-39.8367752;1390319744
node;;platform;;Francia alt. 2690;bus_stop;;yes;;-73.2312834;-39.8379866;1390319747
node;;platform;;1, 3;bus_stop;;yes;;-73.2496702;-39.8213254;1393198856
node;;platform;;;bus_stop;;yes;;-73.2459493;-39.8421654;1395542154
node;;platform;;1, 3;bus_stop;;yes;;-73.2484372;-39.8245558;1401831608
node;yes;platform;;1, 3;bus_stop;;yes;no;-73.2488292;-39.8258318;1405145522
node;;platform;;;bus_stop;;yes;;-73.2398169;-39.8276977;1408752453
node;;platform;;;bus_stop;;yes;;-73.2404025;-39.8289965;1408752454
node;;platform;;;bus_stop;;yes;;-73.2149633;-39.8068252;1408785846
node;;platform;;;bus_stop;;yes;;-73.2307392;-39.8198609;1408786410
node;;platform;;I - Beauchef / Picarte;bus_stop;;yes;;-73.2348614;-39.8169438;1408787840
node;;platform;;Paradero Carampangue;bus_stop;;yes;;-73.2394026;-39.8130925;1408794776
node;yes;platform;;Paradero Carampangue /  Caupolican;bus_stop;;yes;;-73.2433627;-39.8121905;1408794777
node;;platform;;Avenida Francia / Calle Dos;bus_stop;;yes;;-73.2239924;-39.8376918;1424167022
node;;platform;;4 y 5;bus_stop;;yes;;-73.2398168;-39.8328235;1427271881
node;;platform;;;bus_stop;;yes;;-73.2198958;-39.7726192;1440309003
node;;platform;;;bus_stop;;yes;;-73.2439501;-39.8141731;1441560479
node;;platform;;;bus_stop;;yes;;-73.2443685;-39.8156312;1441569875
