_type;_tags_website;_tags_phone;_tags_opening_hours;_tags_name:es;_tags_name;_tags_mobile;_tags_internet_access;_tags_healthcare;_tags_email;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:postcode;_tags_addr:housenumber;_tags_addr:district;_tags_addr:country;_tags_addr:city;_nodes;_lon;_lat;_id;_geometry_centroid_lon;_geometry_centroid_lat;_geometry;_bounds_minlon;_bounds_minlat;_bounds_maxlon;_bounds_maxlat
node;;;;;Veterinario;;;;;veterinary;;;;;;;;;-73.2103133;-39.838209;1937574047;;;;;;;
node;;632211101;24/7;;Veterinaria Boroschek;;;;;veterinary;Huemul;Región de Los Ríos;;596;Valdivia;CL;Valdivia;;-73.2263832;-39.8262301;4547053389;;;;;;;
node;;;;;Los Fundadores;;;;;veterinary;Intendente Luís Damann Asenjo;Región de Los Ríos;;1053;Valdivia;CL;Valdivia;;-73.2371784;-39.8501159;5287744508;;;;;;;
node;;+562225315;;;Veterinaria Dra. Victoria Calderon;;;;;veterinary;Intendente Luís Damann Asenjo;Región de Los Ríos;;958;Valdivia;CL;Valdivia;;-73.2346265;-39.8503493;5289004225;;;;;;;
node;;;;;Clínica Veterinaria Municipal;;;;;veterinary;Santa Bernardita;Región de Los Ríos;;;Valdivia;CL;Valdivia;;-73.2237913;-39.8361389;7884853534;;;;;;;
node;;+56991396267;Mo-Fr 10:00-13:30,15:00-19:30; Sa 11:00-13:30,15:00-18:30;;De Los Ríos;;;;;veterinary;Avenida Francia;;;310;;;Valdivia;;-73.2177104;-39.8353477;10014384911;;;;;;;
way;;(63) 221215;;;Hospital Clínico Veterinario UACH;;;;;veterinary;;;;;;;;[1535676117, 1535676143, 1535676164, 1535676166, 1535676155, 1535676165, 1535676186, 1535676190, 1535676160, 1535676174, 1535676168, 1535676153, 1535676193, 1535676104, 1535676121, 1535676099, 1535676130, 1535676126, 1535676117];;;140167458;-73.25545989541132;-39.801154725297415;[{'lat': -39.8013545, 'lon': -73.2559426}, {'lat': -39.8014449, 'lon': -73.25588}, {'lat': -39.8013599, 'lon': -73.2556722}, {'lat': -39.8014202, 'lon': -73.2556305}, {'lat': -39.8013412, 'lon': -73.2554371}, {'lat': -39.8014476, 'lon': -73.2553634}, {'lat': -39.8013596, 'lon': -73.2551483}, {'lat': -39.8014371, 'lon': -73.2550946}, {'lat': -39.8013691, 'lon': -73.2549283}, {'lat': -39.8009542, 'lon': -73.2552159}, {'lat': -39.8009719, 'lon': -73.2552592}, {'lat': -39.8009229, 'lon': -73.2552932}, {'lat': -39.8009462, 'lon': -73.25535}, {'lat': -39.8007617, 'lon': -73.2554778}, {'lat': -39.8009058, 'lon': -73.2558302}, {'lat': -39.8010595, 'lon': -73.2557236}, {'lat': -39.8011253, 'lon': -73.2558845}, {'lat': -39.8012854, 'lon': -73.2557736}, {'lat': -39.8013545, 'lon': -73.2559426}];-73.2559426;-39.8014476;-73.2549283;-39.8007617
way;;;;;Aníbal Pinto;;;;;veterinary;Aníbal Pinto;Región de Los Ríos;;;Valdivia;CL;Valdivia;[4328580390, 4328580391, 4328580392, 4328580393, 4328580390];;;434947010;-73.23998112548313;-39.82454199741979;[{'lat': -39.8245143, 'lon': -73.2400758}, {'lat': -39.8245114, 'lon': -73.239888}, {'lat': -39.8245697, 'lon': -73.2398865}, {'lat': -39.8245726, 'lon': -73.2400742}, {'lat': -39.8245143, 'lon': -73.2400758}];-73.2400758;-39.8245726;-73.2398865;-39.8245114
way;;+56 63 530213;;;Baquedano;;;;;veterinary;General Baquedano;Región de Los Ríos;;;Valdivia;CL;Valdivia;[4328629289, 4328629290, 4328629291, 4328629292, 4328629289];;;434950688;-73.23658926033109;-39.82333471686667;[{'lat': -39.8232713, 'lon': -73.2366081}, {'lat': -39.8232933, 'lon': -73.2365275}, {'lat': -39.823396, 'lon': -73.2365662}, {'lat': -39.8233764, 'lon': -73.2366534}, {'lat': -39.8232713, 'lon': -73.2366081}];-73.2366534;-39.823396;-73.2365275;-39.8232713
way;;;;;;;;;;veterinary;General Lagos;Región de Los Ríos;;;Valdivia;CL;Valdivia;[5036029511, 5036029512, 9628870620, 5036029513, 5036029514, 5036029511];;;515734247;-73.25147445143615;-39.831696128739004;[{'lat': -39.8316523, 'lon': -73.2514886}, {'lat': -39.8316645, 'lon': -73.2514324}, {'lat': -39.8317034, 'lon': -73.2514468}, {'lat': -39.83174, 'lon': -73.2514603}, {'lat': -39.8317277, 'lon': -73.2515165}, {'lat': -39.8316523, 'lon': -73.2514886}];-73.2515165;-39.83174;-73.2514324;-39.8316523
way;;;;;Caupolicán;;;;;veterinary;Carampangue;;;;;;Valdivia;[6231115177, 6231115176, 12212964074, 12212964073, 6231115174, 6231115177];;;665689955;-73.24334565105634;-39.81211243795041;[{'lat': -39.8120462, 'lon': -73.2434102}, {'lat': -39.8121297, 'lon': -73.2434327}, {'lat': -39.8121588, 'lon': -73.2434168}, {'lat': -39.8121799, 'lon': -73.243284}, {'lat': -39.8120709, 'lon': -73.2432546}, {'lat': -39.8120462, 'lon': -73.2434102}];-73.2434327;-39.8121799;-73.2432546;-39.8120462
way;http://www.facebook.cl/clinvetelbosque;+5663 2430902;Mo-Fr 10:00-13:00, 14:30-19:00; Sa 10:00-13:00, 15:00-18:00;El Bosque;El Bosque;;;;clinvetelbosque@gmail.com;veterinary;Avenida Circunvalación Sur;;;;;;Valdivia;[7530171537, 7530171538, 7530171539, 7530171540, 7530171541, 7530171542, 7530171543, 7530171544, 7530171545, 7530171546, 7530171547, 7530171548, 7530171537];;;805137483;-73.23783047116478;-39.84428878718955;[{'lat': -39.8443218, 'lon': -73.2379148}, {'lat': -39.8442379, 'lon': -73.2378707}, {'lat': -39.8442396, 'lon': -73.2378654}, {'lat': -39.8442115, 'lon': -73.2378507}, {'lat': -39.8442353, 'lon': -73.2377738}, {'lat': -39.8442669, 'lon': -73.2377904}, {'lat': -39.8442722, 'lon': -73.2377733}, {'lat': -39.8442912, 'lon': -73.2377833}, {'lat': -39.8443016, 'lon': -73.2377497}, {'lat': -39.8443505, 'lon': -73.2377754}, {'lat': -39.8443413, 'lon': -73.2378049}, {'lat': -39.8443539, 'lon': -73.2378115}, {'lat': -39.8443218, 'lon': -73.2379148}];-73.2379148;-39.8443539;-73.2377497;-39.8442115
way;;;;;;;;;;veterinary;Avenida Francia;Región de Los Ríos;;;Valdivia;CL;Valdivia;[10187639726, 10187639727, 10187639728, 10187639729, 10187639730, 10187639731, 10187639732, 10187639733, 10187639726];;;1113535174;-73.23212581139408;-39.83759157576746;[{'lat': -39.8375623, 'lon': -73.232227}, {'lat': -39.8375313, 'lon': -73.2320453}, {'lat': -39.8376002, 'lon': -73.2320254}, {'lat': -39.8376073, 'lon': -73.2320669}, {'lat': -39.8376374, 'lon': -73.2320583}, {'lat': -39.8376489, 'lon': -73.2321257}, {'lat': -39.8376367, 'lon': -73.2321292}, {'lat': -39.8376491, 'lon': -73.2322019}, {'lat': -39.8375623, 'lon': -73.232227}];-73.232227;-39.8376491;-73.2320254;-39.8375313
node;http://espaciorecreovaldivia.blogspot.com;+56972172682;Mo-Fr 08:30-08:00;Espacio Recreo Valdivia;Espacio Recreo Valdivia;;wlan;;espaciorecreovaldivia@gmail.com;clinic;García Reyes;Región de Los Ríos;5090000;455;Valdivia;CL;Valdivia;;-73.240182;-39.814519;4978478021;;;;;;;
node;;;;;Maxilodent;;;;;clinic;Yungay;Región de Los Ríos;;;Valdivia;CL;Valdivia;;-73.2488637;-39.8172674;5138559021;;;;;;;
node;;;;;Corpo Salud Bienestar Integral;;;clinic;;clinic;Avenida Los Robles;;;620;;CL;valdivia;;-73.2601462;-39.8091307;5287790313;;;;;;;
way;;;;;CESFAM Las Ánimas;;;clinic;;clinic;Sedeño;Región de Los Ríos;;250;Valdivia;CL;Valdivia;[1194219314, 5750640267, 5750640270, 1194219304, 1194219102, 1194219340, 9338396390, 1194219314];;;103424363;-73.22050728898489;-39.8105222363202;[{'lat': -39.8098626, 'lon': -73.2207559}, {'lat': -39.810043, 'lon': -73.2209034}, {'lat': -39.8102907, 'lon': -73.2211058}, {'lat': -39.8106259, 'lon': -73.2213799}, {'lat': -39.8111841, 'lon': -73.2202672}, {'lat': -39.8104047, 'lon': -73.2196295}, {'lat': -39.8100462, 'lon': -73.2203954}, {'lat': -39.8098626, 'lon': -73.2207559}];-73.2213799;-39.8111841;-73.2196295;-39.8098626
way;;;;;Cesamco;;;;;clinic;Pedro Aguirre Cerda;Región de Los Ríos;;231;Valdivia;CL;Valdivia;[1408785879, 1408785856, 1408785860, 1408785861, 1408785855, 1408785839, 1408785873, 1408785885, 1408785879];;;127236527;-73.22477379077932;-39.814856209081654;[{'lat': -39.8150725, 'lon': -73.2248586}, {'lat': -39.8148136, 'lon': -73.2245012}, {'lat': -39.814686, 'lon': -73.2246578}, {'lat': -39.8147416, 'lon': -73.2247345}, {'lat': -39.8146536, 'lon': -73.2248425}, {'lat': -39.8147255, 'lon': -73.2249417}, {'lat': -39.8148082, 'lon': -73.2248403}, {'lat': -39.8149396, 'lon': -73.2250218}, {'lat': -39.8150725, 'lon': -73.2248586}];-73.2250218;-39.8150725;-73.2245012;-39.8146536
way;;;;;Filial Cruz Roja Valdivia;;;hospital;;clinic;Arauco;Región de Los Ríos;;810;Valdivia;CL;Valdivia;[1492715243, 8646240804, 8646240806, 8646240807, 8646240805, 1492715062, 6839044872, 6839044873, 1492715326, 1492715138, 1492715104, 1492715080, 1492715243];;;136018355;-73.23886525137665;-39.81624810558563;[{'lat': -39.8161469, 'lon': -73.2389057}, {'lat': -39.8161727, 'lon': -73.2388322}, {'lat': -39.8162159, 'lon': -73.238858}, {'lat': -39.8162269, 'lon': -73.2388265}, {'lat': -39.8162053, 'lon': -73.2388137}, {'lat': -39.816234, 'lon': -73.2387319}, {'lat': -39.8163297, 'lon': -73.2387889}, {'lat': -39.8163059, 'lon': -73.2388569}, {'lat': -39.8162852, 'lon': -73.2388446}, {'lat': -39.8162752, 'lon': -73.2388731}, {'lat': -39.8163217, 'lon': -73.2389008}, {'lat': -39.8162901, 'lon': -73.2389909}, {'lat': -39.8161469, 'lon': -73.2389057}];-73.2389909;-39.8163297;-73.2387319;-39.8161469
