_type;_tags_wikipedia;_tags_wikidata;_tags_source;_tags_ref;_tags_operator;_tags_name:es;_tags_name:en;_tags_name;_tags_icao;_tags_ele;_tags_closest_town;_tags_building;_tags_aeroway;_tags_aerodrome:type;_nodes;_lon;_lat;_id;_geometry_centroid_lon;_geometry_centroid_lat;_geometry;_bounds_minlon;_bounds_minlat;_bounds_maxlon;_bounds_maxlat
way;es:Aeródromo Las Marías;Q6492315;wikipedia;;;Aeródromo Las Marías;Las Marías Airport;Aeródromo Las Marías;SCVL;4;Valdivia, Chile;;aerodrome;public;[5835489926, 6235129849, 6235129853, 6235129852, 6235129846, 1415770220, 6235129838, 2799260504, 8644542654, 6235129840, 1557136030, 6235129843, 6235129832, 6235129848, 1557136032, 6235129839, 1557136033, 1557136037, 1557136038, 6235129851, 6235129850, 6235129841, 6235129836, 6235129837, 6235129831, 6235129835, 4953242964, 6235129847, 6235129833, 6235129844, 6235129842, 6235129845, 6235129834, 5835489925, 5835489924, 5835489929, 5835489928, 5835489927, 5835489926];;;128032728;-73.24202065507126;-39.79632855459205;[{'lat': -39.8025963, 'lon': -73.2443116}, {'lat': -39.8005558, 'lon': -73.2469125}, {'lat': -39.7984032, 'lon': -73.2457731}, {'lat': -39.7977413, 'lon': -73.2471888}, {'lat': -39.7952644, 'lon': -73.245794}, {'lat': -39.7982843, 'lon': -73.2451479}, {'lat': -39.7983335, 'lon': -73.2449872}, {'lat': -39.7983185, 'lon': -73.2436491}, {'lat': -39.7921456, 'lon': -73.2433445}, {'lat': -39.7907137, 'lon': -73.2432585}, {'lat': -39.7885674, 'lon': -73.2420185}, {'lat': -39.7887298, 'lon': -73.2418734}, {'lat': -39.7888844, 'lon': -73.2416698}, {'lat': -39.7889849, 'lon': -73.2413383}, {'lat': -39.7890332, 'lon': -73.2410607}, {'lat': -39.7891099, 'lon': -73.2408681}, {'lat': -39.7892182, 'lon': -73.2407441}, {'lat': -39.7894377, 'lon': -73.2405287}, {'lat': -39.789655, 'lon': -73.2403384}, {'lat': -39.7897467, 'lon': -73.2401136}, {'lat': -39.7897853, 'lon': -73.239733}, {'lat': -39.7898545, 'lon': -73.2394163}, {'lat': -39.789872, 'lon': -73.2392339}, {'lat': -39.7898902, 'lon': -73.2388967}, {'lat': -39.7899394, 'lon': -73.2385904}, {'lat': -39.7899821, 'lon': -73.2381706}, {'lat': -39.7899683, 'lon': -73.2379196}, {'lat': -39.7899747, 'lon': -73.2377442}, {'lat': -39.7901076, 'lon': -73.2376114}, {'lat': -39.7904654, 'lon': -73.2376618}, {'lat': -39.7919866, 'lon': -73.2380837}, {'lat': -39.7954987, 'lon': -73.239033}, {'lat': -39.8020206, 'lon': -73.2407799}, {'lat': -39.8036375, 'lon': -73.2413587}, {'lat': -39.8037094, 'lon': -73.2416318}, {'lat': -39.8032062, 'lon': -73.2431636}, {'lat': -39.8030325, 'lon': -73.2435458}, {'lat': -39.8028067, 'lon': -73.2439693}, {'lat': -39.8025963, 'lon': -73.2443116}];-73.2471888;-39.8037094;-73.2376114;-39.7885674
way;;;;;Privado;;;Terminal Aéreo Las Marías;;;;yes;terminal;;[1779503643, 1779503640, 12366060276, 12366060275, 4439877533, 4439877532, 12366060273, 12366060274, 12366060271, 12366060272, 4439877531, 4439877534, 12366060281, 12366060284, 1779503641, 1779503642, 12366060280, 12366060279, 12366060278, 12366060277, 1779503643];;;166508166;-73.24435082535399;-39.800002817430055;[{'lat': -39.7997839, 'lon': -73.2444546}, {'lat': -39.7997854, 'lon': -73.2443295}, {'lat': -39.7998804, 'lon': -73.2443313}, {'lat': -39.7998806, 'lon': -73.2443109}, {'lat': -39.7999965, 'lon': -73.2443131}, {'lat': -39.7999988, 'lon': -73.2441128}, {'lat': -39.7999472, 'lon': -73.2441118}, {'lat': -39.7999478, 'lon': -73.2440645}, {'lat': -39.8000993, 'lon': -73.2440674}, {'lat': -39.8000988, 'lon': -73.2441097}, {'lat': -39.8000374, 'lon': -73.2441085}, {'lat': -39.8000352, 'lon': -73.2443123}, {'lat': -39.8001171, 'lon': -73.2443145}, {'lat': -39.8001742, 'lon': -73.2443142}, {'lat': -39.8001903, 'lon': -73.2443152}, {'lat': -39.8001886, 'lon': -73.2444656}, {'lat': -39.8001191, 'lon': -73.2444643}, {'lat': -39.8001187, 'lon': -73.2445057}, {'lat': -39.7999943, 'lon': -73.2445033}, {'lat': -39.7999948, 'lon': -73.2444587}, {'lat': -39.7997839, 'lon': -73.2444546}];-73.2445057;-39.8001903;-73.2440645;-39.7997839
way;;;;;;;;;;;;;taxiway;;[1415770238, 4439877565, 1415770215];;;128032727;-73.24369916666666;-39.79957746666667;[{'lat': -39.7995657, 'lon': -73.2441286}, {'lat': -39.7995829, 'lon': -73.243501}, {'lat': -39.7995838, 'lon': -73.2434679}];-73.2441286;-39.7995838;-73.2434679;-39.7995657
way;;;;;;;;;;;;;taxiway;;[1415770186, 4439877557, 1415770240, 1415770177, 4439877530, 1415770203, 1415770215, 1415770241, 1415770231, 8029456682, 1415770197];;;128032731;-73.24320372452101;-39.79979867496146;[{'lat': -39.8009895, 'lon': -73.2442292}, {'lat': -39.8007109, 'lon': -73.2441794}, {'lat': -39.8004423, 'lon': -73.2441195}, {'lat': -39.8001117, 'lon': -73.2439634}, {'lat': -39.7998003, 'lon': -73.2437106}, {'lat': -39.7997207, 'lon': -73.2436358}, {'lat': -39.7995838, 'lon': -73.2434679}, {'lat': -39.7993333, 'lon': -73.2431221}, {'lat': -39.7989717, 'lon': -73.2422718}, {'lat': -39.7988369, 'lon': -73.2419309}, {'lat': -39.7987919, 'lon': -73.2417093}];-73.2442292;-39.8009895;-73.2417093;-39.7987919
way;;;;17/35;;;;;;;;;runway;;[412448196, 1415770197, 412448197];;;35164176;-73.24161503333333;-39.7971618;[{'lat': -39.8019652, 'lon': -73.2419273}, {'lat': -39.7987919, 'lon': -73.2417093}, {'lat': -39.7907283, 'lon': -73.2412085}];-73.2419273;-39.8019652;-73.2412085;-39.7907283
way;;;;17/35;;;;;;;;;runway;;[8029456684, 412448196];;;861621922;-73.24194514999999;-39.802188699999995;[{'lat': -39.8024122, 'lon': -73.241963}, {'lat': -39.8019652, 'lon': -73.2419273}];-73.241963;-39.8024122;-73.2419273;-39.8019652
node;;;ourairports.com;;;;;Quinn Heliport;;;;;helipad;;;-73.2571967;-39.8525338;1042138052;;;;;;;
node;;;;;;;;;;;;;helipad;;;-73.2461587;-39.8111652;5650708177;;;;;;;
way;;;;;Ejército;;;;;;;;helipad;;[4439877561, 4439877562, 4439877563, 4439877564, 4439877561];;;446748153;-73.2440489;-39.79968175;[{'lat': -39.799634, 'lon': -73.2441118}, {'lat': -39.7996385, 'lon': -73.2439807}, {'lat': -39.7997295, 'lon': -73.243986}, {'lat': -39.799725, 'lon': -73.2441171}, {'lat': -39.799634, 'lon': -73.2441118}];-73.2441171;-39.7997295;-73.2439807;-39.799634
way;;;;;;;;;;;;;helipad;;[4439890697, 7722655424, 4439890698, 4439890699, 4439890700, 4439890697];;;446749958;-73.23228725387324;-39.827292286465834;[{'lat': -39.8271991, 'lon': -73.2324694}, {'lat': -39.8273991, 'lon': -73.2324288}, {'lat': -39.8274225, 'lon': -73.2323824}, {'lat': -39.827383, 'lon': -73.2321043}, {'lat': -39.8271615, 'lon': -73.2321534}, {'lat': -39.8271991, 'lon': -73.2324694}];-73.2324694;-39.8274225;-73.2321043;-39.8271615
